"REF_DATE","GEO","DGUID","Primary heating system and type of energy","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Canada","2016A000011124","All primary heating systems","Percent","239","units ","0","v107791203","1.40","95","","","","0"
"2013","Canada","2016A000011124","Electricity","Percent","239","units ","0","v107791204","1.41","39","","","","0"
"2013","Canada","2016A000011124","Natural gas","Percent","239","units ","0","v107791205","1.42","44","","","","0"
"2013","Canada","2016A000011124","Oil","Percent","239","units ","0","v107791206","1.43","6","","","","0"
"2013","Canada","2016A000011124","Wood or wood pellets","Percent","239","units ","0","v107791207","1.44","4","","","","0"
"2013","Canada","2016A000011124","Wood (excluding wood pellets)","Percent","239","units ","0","v107791208","1.45","4","","","","0"
"2013","Canada","2016A000011124","Wood pellets","Percent","239","units ","0","v107791209","1.46","0","","","","0"
"2013","Canada","2016A000011124","Propane","Percent","239","units ","0","v107791210","1.47","1","","","","0"
"2013","Canada","2016A000011124","Other fuel","Percent","239","units ","0","v107791211","1.48","1","E","","","0"
"2013","Canada","2016A000011124","Forced air furnace","Percent","239","units ","0","v95637312","1.1","53","","","","0"
"2013","Canada","2016A000011124","Electric forced air furnace","Percent","239","units ","0","v95637313","1.2","15","","","","0"
"2013","Canada","2016A000011124","Natural gas forced air furnace","Percent","239","units ","0","v95637314","1.3","75","","","","0"
"2013","Canada","2016A000011124","Oil forced air furnace","Percent","239","units ","0","v95637315","1.4","7","","","","0"
"2013","Canada","2016A000011124","Wood or wood pellets forced air furnace","Percent","239","units ","0","v95637316","1.5","2","","","","0"
"2013","Canada","2016A000011124","Wood (excluding wood pellets) forced air furnace","Percent","239","units ","0","v95637317","1.6","2","","","","0"
"2013","Canada","2016A000011124","Wood pellets forced air furnace","Percent","239","units ","0","v95637318","1.7","0","E","","","0"
"2013","Canada","2016A000011124","Propane forced air furnace","Percent","239","units ","0","v95637319","1.8","2","","","","0"
"2013","Canada","2016A000011124","Other fuel forced air furnace","Percent","239","units ","0","v95637320","1.9","","F","","","0"
"2013","Canada","2016A000011124","Electric baseboard heaters","Percent","239","units ","0","v95637321","1.10","28","","","","0"
"2013","Canada","2016A000011124","Heating stove","Percent","239","units ","0","v95637322","1.11","3","","","","0"
"2013","Canada","2016A000011124","Electric heating stove","Percent","239","units ","0","v95637323","1.12","9","E","","","0"
"2013","Canada","2016A000011124","Natural gas heating stove","Percent","239","units ","0","v95637324","1.13","7","E","","","0"
"2013","Canada","2016A000011124","Oil heating stove","Percent","239","units ","0","v95637325","1.14","5","E","","","0"
"2013","Canada","2016A000011124","Wood heating stove","Percent","239","units ","0","v95637326","1.15","83","","","","0"
"2013","Canada","2016A000011124","Wood (excluding wood pellets) heating stove","Percent","239","units ","0","v95637327","1.16","75","","","","0"
"2013","Canada","2016A000011124","Wood pellets heating stove","Percent","239","units ","0","v95637328","1.17","9","","","","0"
"2013","Canada","2016A000011124","Propane heating stove","Percent","239","units ","0","v95637329","1.18","3","E","","","0"
"2013","Canada","2016A000011124","Other fuel heating stove","Percent","239","units ","0","v95637330","1.19","","F","","","0"
"2013","Canada","2016A000011124","Boiler with hot water or steam radiators","Percent","239","units ","0","v95637331","1.20","9","","","","0"
"2013","Canada","2016A000011124","Electric boiler with hot water or steam radiators","Percent","239","units ","0","v95637332","1.21","16","","","","0"
"2013","Canada","2016A000011124","Natural gas boiler with hot water or steam radiators","Percent","239","units ","0","v95637333","1.22","44","","","","0"
"2013","Canada","2016A000011124","Oil boiler with hot water or steam radiators","Percent","239","units ","0","v95637334","1.23","16","","","","0"
"2013","Canada","2016A000011124","Wood boiler with hot water or steam radiators","Percent","239","units ","0","v95637335","1.24","2","E","","","0"
"2013","Canada","2016A000011124","Wood (excluding wood pellets) boiler with hot water or steam radiators","Percent","239","units ","0","v95637336","1.25","2","E","","","0"
"2013","Canada","2016A000011124","Wood pellets boiler with hot water or steam radiators","Percent","239","units ","0","v95637337","1.26","","F","","","0"
"2013","Canada","2016A000011124","Propane boiler with hot water or steam radiators","Percent","239","units ","0","v95637338","1.27","","F","","","0"
"2013","Canada","2016A000011124","Other fuel boiler with hot water or steam radiators","Percent","239","units ","0","v95637339","1.28","1","E","","","0"
"2013","Canada","2016A000011124","Electric radiant heating","Percent","239","units ","0","v95637340","1.29","2","","","","0"
"2013","Canada","2016A000011124","Heat pump","Percent","239","units ","0","v95637341","1.30","3","","","","0"
"2013","Canada","2016A000011124","Other type of heating system","Percent","239","units ","0","v95637342","1.31","1","","","","0"
"2013","Canada","2016A000011124","Other electric heating system","Percent","239","units ","0","v95637343","1.32","21","E","","","0"
"2013","Canada","2016A000011124","Other natural gas heating system","Percent","239","units ","0","v95637344","1.33","47","","","","0"
"2013","Canada","2016A000011124","Other oil heating system","Percent","239","units ","0","v95637345","1.34","22","E","","","0"
"2013","Canada","2016A000011124","Other wood heating system","Percent","239","units ","0","v95637346","1.35","","F","","","0"
"2013","Canada","2016A000011124","Other wood (excluding wood pellets) heating system","Percent","239","units ","0","v95637347","1.36","","F","","","0"
"2013","Canada","2016A000011124","Other wood pellets heating system","Percent","239","units ","0","v95637348","1.37","","F","","","0"
"2013","Canada","2016A000011124","Other propane heating system","Percent","239","units ","0","v95637349","1.38","","F","","","0"
"2013","Canada","2016A000011124","Other fuel heating system","Percent","239","units ","0","v95637350","1.39","","F","","","0"
"2013","Newfoundland and Labrador","2016A000210","All primary heating systems","Percent","239","units ","0","v107791212","2.40","99","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Electricity","Percent","239","units ","0","v107791213","2.41","70","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Natural gas","Percent","239","units ","0","v107791214","2.42","","F","","","0"
"2013","Newfoundland and Labrador","2016A000210","Oil","Percent","239","units ","0","v107791215","2.43","20","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Wood or wood pellets","Percent","239","units ","0","v107791216","2.44","13","E","","","0"
"2013","Newfoundland and Labrador","2016A000210","Wood (excluding wood pellets)","Percent","239","units ","0","v107791217","2.45","13","E","","","0"
"2013","Newfoundland and Labrador","2016A000210","Wood pellets","Percent","239","units ","0","v107791218","2.46","","F","","","0"
"2013","Newfoundland and Labrador","2016A000210","Propane","Percent","239","units ","0","v107791219","2.47","","F","","","0"
"2013","Newfoundland and Labrador","2016A000210","Other fuel","Percent","239","units ","0","v107791220","2.48","","F","","","0"
"2013","Newfoundland and Labrador","2016A000210","Forced air furnace","Percent","239","units ","0","v95637351","2.1","24","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Electric forced air furnace","Percent","239","units ","0","v95637352","2.2","25","E","","","0"
"2013","Newfoundland and Labrador","2016A000210","Natural gas forced air furnace","Percent","239","units ","0","v95637353","2.3","","F","","","0"
"2013","Newfoundland and Labrador","2016A000210","Oil forced air furnace","Percent","239","units ","0","v95637354","2.4","63","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Wood or wood pellets forced air furnace","Percent","239","units ","0","v95637355","2.5","25","E","","","0"
